X,Y,tyyp_t,korgus
598154.074000001,6477594.66,Sidemast,"82"
413671.361000001,6542131.387,Torn,"34"
627639.229999997,6462119.229,Korsten,"25"
627609.291000001,6462169.404,Valgusmast,"15"
612887.075000003,6474521.045,Korsten,"20"
605076.041000001,6475006.156,Sidemast,"100"
619412.520000003,6477323.95,Korsten,"20"
606452.675999999,6473985.59,Korsten,"18"
472922.903999999,6493522.012,Korsten,"15"
559949.399999999,6501420.88,Korsten,"23"
559470.460000001,6501609.07,Korsten,"23"
471571.980999999,6492742.025,Korsten,"13"
561232.43,6502700.19,Sidemast,"80"
574058.920000002,6509340.19,Sidemast,"80"
586463.630000003,6489307.14,Sidemast,"61"
589483.75,6487504.9,Sidemast,"81"
472189.350000001,6493491.9,Korsten,"30"
585405.780000001,6488235.17,Torn,"20"
443095.523000002,6488193.039,Torn,"10"
434483.5,6486813.68,Sidemast,"100"
436197.710000001,6486462.9,Korsten,"15"
446658.575999998,6471357.026,Torn,"24"
489519.299999997,6504062.115,Sidemast,"75"
580578.534999996,6436252.13,Torn,"20"
423763.689999998,6492616.97,Sidemast,"45"
679807.707999997,6438747.624,Korsten,"20"
423611.630000003,6492620.96,Torn,"20"
437351.82,6493373.26,Torn,"17"
432606.722999997,6496574.52,Sidemast,"80"
472977.331,6493505.322,Korsten,"10"
442046.280000001,6474091.22,Sidemast,"81"
441593.990000002,6474244.08,Torn,"25"
441525.240000002,6476907.13,Korsten,"36"
446147.75,6491326.29,Korsten,"15"
472705.071000002,6494048.813,Sidemast,"61"
649384.148000002,6561477.174,Sidemast,"80"
414554.119999997,6537432.49,Torn,"23"
586772.880000003,6605252.9,Korsten,"23"
586112.623999998,6606300.74,Sidemast,"100"
591160.689999998,6605732.57,Torn,"21"
457823.534000002,6537340.461,Sidemast,"30"
474211.898999996,6533578.343,Korsten,"16"
473850.251999997,6533651.594,Korsten,"23"
473785.513999999,6533158.853,Korsten,"60"
473915.035999998,6531928.2,Korsten,"25"
473714.375,6533305.15,Korsten,"20"
472394.615999997,6531180.131,Korsten,"20"
471606.332999997,6532776.409,Torn,"22"
473940.331,6532143.974,Torn,"48"
