"date","city","name","offer","price"
"2017-12-11","Tallinn","Ubin bistroo","Värske salat suitsulõhe-ja rukola kastmega",5.5
"2018-04-03","Tartu","Fasters Grill-Buffee","Hiinakas, vürtsikas sealihapada, seašašlõkk, kanašašlõkk, grillkotlet, Ljulja kebab, grillribi, keedukartul, ahjukartul, riis, tatar, aurutatud köögivili, värske salat, soe kaste, kastmed 100g",1.19
"2018-07-04","Tartu","Tartu Kaubamaja Subway","Päeva SUB - Fajita kana",2.65
"2018-08-06","Tartu","Gustav Gastro Cafe","Seenepüreesupp",2.6
"2017-12-05","Tallinn","Ubin bistroo","Paneeritud kanakoib",4.8
"2018-05-18","Tartu","Ülikooli kohvik","Meekana ingveri ja riisiga",4.5
"2018-05-31","Tartu","Aleksander","Peedipüreesupp suitsujuustuga",2.8
"2018-03-01","Tartu","Eesti Maaülikooli Daily","Ahjukala sooja köögiviljasalatiga",3.8
"2018-04-25","Tartu","Polpo","Tempura taignas köögiviljad jogurti kastmega",4.5
"2018-02-07","Tartu","Aardla TOIT","Maksakaste",3.7
"2018-04-02","Tallinn","Endla 4 Daily","Seenesupp singiga",2
"2017-10-27","Tartu","Entri","Grillitud kanaliha aedvilja-kuskusisalatil",3.2
"2018-06-27","Tartu","Kohvik Paviljon","Sibulaklops keedukartuliga",3.4
"2018-03-09","Tartu","Kohvik Paul","Kurzemes",3.9
"2018-04-06","Tallinn","Tervishoiu Kõrgkooli Daily","Kodune hakklihakaste",1.7
"2018-07-19","Tallinn","Helios Söögituba","Lambapraad",5.8
"2018-03-12","Tallinn","TEXAS Honky Tonk & Cantina","REBITUD SEALIHAGA TÄIDETUD KARTUL ubade, värske salati & grillitud maisitõlvikuga",4.99
"2018-06-05","Tallinn","Malltop Restoran","Köögivilja-püreesupp",3
"2018-03-30","Tartu","Eesti Maaülikooli Daily","Kartuli, roheliste ubade ja tomati hautis",2.4
"2017-12-21","Tallinn","Art-Salong Grao","Pasta kanaga",3.9
"2018-05-29","Tartu","Rebase Söögituba","Kirsi-kodujuustukook",1.6
"2018-01-17","Tallinn","Galerii kohvik & bistroo","Sealiha sibula-seene-juustukattega",5.3
"2018-07-12","Tartu","Vapiano","Insalata - Cesare kanaga / Mista kanaga / Quinoa",5
"2018-08-01","Tallinn","Alter Ego restoran","Musta tomati gazpacho",3.9
"2018-05-10","Tallinn","Al Mare Kohvik & Bistroo (Teaduspargi)","Karrine kana-lillkapsastrogonov",4.7
"2018-07-30","Tartu","Kohvik Rabarber","Seliha-seenekotlet, keedukartulid, aurutatud aedviljad, kapsa-naerisesalat, leib, sai, maitsevõi, kannuvesi",4.5
"2017-12-05","Tallinn","FREDO Köök&Baar","Tom yum",3
"2017-11-16","Tallinn","Rävala Daily","Bolognesekaste",3.8
"2017-12-19","Tallinn","Ubin bistroo","Grilitud vürtsikas sealiha",5
"2018-04-26","Tallinn","Ubin bistroo","Seljanka",2.1
"2017-11-28","Tartu","Tartu Kõrgema Kunstikooli kohvik","Kanaklimbisupp",1.5
"2018-07-02","Tallinn","Kohvik Tüll","Kanafilee ürdi paneeringus",4.5
"2017-11-07","Tallinn","Kopli Restoran","Minestrone supp",3
"2018-05-07","Tallinn","Pulcinella Itaalia Restoran","Päevasupp",3.5
"2018-03-20","Tartu","Umb Roht","Pestolasanje basiilikumajoneesiga",6
"2017-10-25","Tallinn","Perrooni Kohvik","Ricotta kook pohlamoosiga",2
"2018-04-27","Tallinn","Tammsaare Ärikeskuse Daily","Kalifornia sealihapada",3.8
"2018-05-10","Tallinn","Pererestoran Seller","Šašlõkk",6
"2018-06-25","Tallinn","Kitchen Rõõm","Pasta bolognese",4
"2017-10-13","Tallinn","Legend Kohvik","Seljanka",2.4
