TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011
2,0,CRS3035RES1000mN3944000E5284000,0
1,0,CRS3035RES1000mN3944000E5285000,0
1,0,CRS3035RES1000mN3944000E5286000,0
2,0,CRS3035RES1000mN3944000E5287000,0
3,3,CRS3035RES1000mN3944000E5288000,2
36,46,CRS3035RES1000mN3944000E5289000,96
0,0,CRS3035RES1000mN3944000E5290000,0
1,0,CRS3035RES1000mN3944000E5291000,0
1,3,CRS3035RES1000mN3944000E5292000,2
0,0,CRS3035RES1000mN3944000E5293000,0
0,0,CRS3035RES1000mN3944000E5294000,0
0,0,CRS3035RES1000mN3944000E5295000,0
0,0,CRS3035RES1000mN3944000E5296000,0
1,0,CRS3035RES1000mN3944000E5297000,0
1,0,CRS3035RES1000mN3944000E5298000,0
2,4,CRS3035RES1000mN3944000E5299000,3
13,17,CRS3035RES1000mN3944000E5300000,7
11,7,CRS3035RES1000mN3944000E5301000,5
5,10,CRS3035RES1000mN3944000E5302000,14
3,2,CRS3035RES1000mN3944000E5303000,0
3,3,CRS3035RES1000mN3944000E5304000,3
2,1,CRS3035RES1000mN3944000E5305000,0
0,0,CRS3035RES1000mN3944000E5306000,0
1,0,CRS3035RES1000mN3944000E5307000,0
1,3,CRS3035RES1000mN3944000E5308000,2
2,7,CRS3035RES1000mN3944000E5309000,4
2,0,CRS3035RES1000mN3945000E5030000,0
2,2,CRS3035RES1000mN3945000E5031000,0
3,6,CRS3035RES1000mN3945000E5032000,6
2,6,CRS3035RES1000mN3945000E5033000,4
2,0,CRS3035RES1000mN3945000E5034000,0
3,0,CRS3035RES1000mN3945000E5035000,0
2,0,CRS3035RES1000mN3945000E5036000,0
2,0,CRS3035RES1000mN3945000E5037000,0
1,0,CRS3035RES1000mN3945000E5038000,0
2,0,CRS3035RES1000mN3945000E5039000,0
2,0,CRS3035RES1000mN3945000E5040000,0
1,0,CRS3035RES1000mN3945000E5283000,0
0,0,CRS3035RES1000mN3945000E5284000,0
0,0,CRS3035RES1000mN3945000E5285000,0
0,0,CRS3035RES1000mN3945000E5286000,0
0,0,CRS3035RES1000mN3945000E5287000,0
4,6,CRS3035RES1000mN3945000E5288000,3
6,7,CRS3035RES1000mN3945000E5289000,6
0,10,CRS3035RES1000mN3945000E5290000,6
1,0,CRS3035RES1000mN3945000E5291000,0
4,0,CRS3035RES1000mN3945000E5292000,0
1,0,CRS3035RES1000mN3945000E5293000,0
1,0,CRS3035RES1000mN3945000E5294000,0
0,0,CRS3035RES1000mN3945000E5295000,0
1,0,CRS3035RES1000mN3945000E5296000,0
21,0,CRS3035RES1000mN3945000E5297000,0
16,8,CRS3035RES1000mN3945000E5298000,6
3,19,CRS3035RES1000mN3945000E5299000,10
18,26,CRS3035RES1000mN3945000E5300000,21
4,8,CRS3035RES1000mN3945000E5301000,3
5,8,CRS3035RES1000mN3945000E5302000,1
6,0,CRS3035RES1000mN3945000E5303000,0
6,7,CRS3035RES1000mN3945000E5304000,0
0,3,CRS3035RES1000mN3945000E5305000,2
0,0,CRS3035RES1000mN3945000E5306000,0
8,5,CRS3035RES1000mN3945000E5307000,5
24,16,CRS3035RES1000mN3945000E5308000,15
0,3,CRS3035RES1000mN3945000E5309000,2
5,9,CRS3035RES1000mN3945000E5310000,5
1,0,CRS3035RES1000mN3945000E5311000,0
1,0,CRS3035RES1000mN3946000E5030000,0
3,6,CRS3035RES1000mN3946000E5031000,3
14,7,CRS3035RES1000mN3946000E5032000,11
12,13,CRS3035RES1000mN3946000E5033000,12
3,0,CRS3035RES1000mN3946000E5034000,0
2,0,CRS3035RES1000mN3946000E5036000,0
1,0,CRS3035RES1000mN3946000E5037000,0
2,3,CRS3035RES1000mN3946000E5038000,1
1,0,CRS3035RES1000mN3946000E5039000,0
3,0,CRS3035RES1000mN3946000E5282000,5
2,0,CRS3035RES1000mN3946000E5283000,0
0,0,CRS3035RES1000mN3946000E5284000,0
0,0,CRS3035RES1000mN3946000E5285000,0
0,0,CRS3035RES1000mN3946000E5286000,0
0,0,CRS3035RES1000mN3946000E5287000,0
3,0,CRS3035RES1000mN3946000E5288000,0
10,3,CRS3035RES1000mN3946000E5289000,3
17,16,CRS3035RES1000mN3946000E5290000,14
