"Country.Name","Covid.19.Deaths","Cardiovascular.diseases","Respiratory.diseases","Kidney.diseases","Neonatal.disorders","Meningitis","Malaria","Interpersonal.violence","HIV.AIDS","Tuberculosis","Maternal.disorders","Lower.respiratory.infections","Alcohol.use.disorders","Diarrheal.diseases","Poisoning","Nutritional.deficiencies","Alzheimer.s.disease","Parkinson.s.disease","Acute.hepatitis","Digestive.diseases","Cirrhosis.and.other.chronic.liver.diseases","Protein.energy.malnutrition","Neoplasms","Fire..heat","Drowning","Drug.use.disorders","Road.injuries","Environmental.heat.and.cold.exposure","Self.harm","Conflict.and.terrorism","Diabetes"
"Ghana",0.00168181977920467,0.199057176852135,0.0298108831310966,0.0234902529758169,0.0803960058035333,0.0175059867763782,0.108424662004428,0.00388575674359528,0.0734026477365718,0.0513231152322668,0.00762090276069462,0.0818619502080938,0.00115970259401875,0.0329435862422122,0.00217381481909142,0.00990516544588305,0.00974953436183725,0.0024599751994337,0.00143080190171144,0.051353237377566,0.0307496899929213,0.00932782432764862,0.0929217978904458,0.0030724588205172,0.00273609486467626,0.000291180737892153,0.0291481959345145,0.000657666839032276,0.0103670383404706,0.000100407150997294,0.0309906671553148
"Greece",0.037129729647492,0.425390619057037,0.0486771440307931,0.0350225927672717,0.0010649789286312,0.000228209770420971,0,0.000988909005157541,0.000167353831642045,0.0010421579515891,3.04279693894628e-05,0.0453148534132575,0.000319493678589359,0.000334707663284091,0.00015974683929468,7.6069923473657e-05,0.0532185184621704,0.0119201570083221,0.000296672701547262,0.0309984938155152,0.0103911515465015,3.04279693894628e-05,0.268024768367083,0.000821555173515495,0.00283740814556741,0.00141490057661002,0.00972173621993336,0.000182567816336777,0.00380349617368285,0,0.0103911515465015
"Greenland",NA,0.27032967032967,0.0703296703296703,0.0153846153846154,0.00879120879120879,0.0021978021978022,0,0.010989010989011,0.0043956043956044,0.00659340659340659,0,0.0263736263736264,0.0197802197802198,0.0021978021978022,0,0.0021978021978022,0.0197802197802198,0.00879120879120879,0,0.0527472527472527,0.0197802197802198,0.0021978021978022,0.345054945054945,0.0043956043956044,0.00659340659340659,0.0043956043956044,0.0043956043956044,0.0043956043956044,0.0747252747252747,0,0.0131868131868132
"Guatemala",0.0487232881143481,0.160544245193377,0.0255645634110345,0.0608333501809433,0.0286476760406769,0.00244627297171623,0,0.0636132058306209,0.00676263065321553,0.00423548915350868,0.00510482582940784,0.0998220892384206,0.0178820532519257,0.0294765784525807,0.00247659866971271,0.0186705213998342,0.019620726603724,0.00410407779552393,0.000151628489982411,0.0866304106099509,0.0558093928795261,0.017629339101955,0.127418474415219,0.00177910761579362,0.00411418636152275,0.00220366738774437,0.0282534419667226,0.000414451205951924,0.00963346339688252,0,0.0674342437781776
"Guinea",0.000789735389895287,0.141830626133417,0.0271727473041749,0.0188464013415752,0.106585028176979,0.0317844119883782,0.110533705126455,0.0096230719731685,0.039360021839596,0.0428602070861689,0.0216835988534212,0.132100306144336,0.00077998557026695,0.0627693387672328,0.00268120039779264,0.0169744359729345,0.00907708207398163,0.00257395238188094,0.00253495310336759,0.0381705438449389,0.0232240703546984,0.0164284460737476,0.0821519801883665,0.00380242965505138,0.00498215783008014,0.000165746933681727,0.0220150927207847,0.00093598268432034,0.00784860480081119,0.000126747655168379,0.0195873876333288
"Guyana",0.0245142002989537,0.36322869955157,0.0177877428998505,0.0426008968609865,0.0286995515695067,0.000896860986547085,0.00254110612855007,0.0267563527653214,0.0270553064275037,0.00911808669656203,0.00358744394618834,0.0391629297458894,0.00403587443946188,0.00911808669656203,0.000298953662182362,0.00732436472346786,0.0118086696562033,0.00373692077727952,0.000298953662182362,0.0587443946188341,0.0375186846038864,0.00642750373692078,0.116591928251121,0.00239162929745889,0.0094170403587444,0.000298953662182362,0.0233183856502242,0.000597907324364724,0.0373692077727952,0,0.0847533632286996
"Haiti",0.00256834407104301,0.28804631725579,0.0372192234024029,0.025803151662894,0.0637188751523594,0.0108501654187707,0.00492991467873934,0.0382966219745777,0.064295664286958,0.0139952986244123,0.0169989552498694,0.068812032039004,0.00416811770851471,0.0445107086888386,0.00192625805328226,0.0103713216089152,0.00834711823088978,0.00300365662545708,0.000892390736548842,0.047710255963782,0.0234089326136166,0.00995777468222184,0.114454553369319,0.00552846944105868,0.0158344941668118,0.000457078182134773,0.0148659237332405,0.00176301584537698,0.0110678216959777,0,0.0461975448371931
"Honduras",0.0577211120447156,0.274266613085888,0.0645891937310488,0.0577759105688087,0.0295546706608702,0.00199101304204873,1.82661746976948e-05,0.0606619661710445,0.00166222189749023,0.0101925254813137,0.00463960837321448,0.0204763818361159,0.00710554195740328,0.0215723523179776,0.00102290578307091,0.00398202608409747,0.0193256128301611,0.00732473605377562,0.000401855843349286,0.103423081138348,0.0539217477075951,0.00361670259014357,0.141434990684251,0.000840244036093961,0.00420122018046981,0.00189968216856026,0.0212983596975121,9.1330873488474e-05,0.00440214810214445,0,0.020585978884302
"Hungary",0.0702896074339603,0.449484116308323,0.0431611782070951,0.0132406511986389,0.000981596876340607,0.000363554398644669,0,0.00104703666809665,0.000269030254997055,0.000443536366346496,7.27108797289338e-05,0.00884891406301125,0.00393365859333532,0.00194865157673543,0.000341741134725989,0.000247216991078375,0.0352647766685329,0.00674029855087217,2.18132639186802e-05,0.0466294871701653,0.0255287898728287,0.000116337407566294,0.249347419854433,0.000937970348503247,0.000952512524449033,0.000458078542292283,0.00583868364223339,0.00150511521038893,0.0138296093244432,0,0.0181559066683148
"Hong Kong",0.00296171779632187,0.594524824398151,0.0244541834263873,0.0141281943527246,0.00556322667146945,0.000420243741369995,0,0.00250145084148806,0.000460266954833804,0.00350203117808329,0.000380220527906186,0.0153088791499069,0.000840487482739989,0.000300174100978568,0.00040023213463809,0.000200116067319045,0.0344399751856077,0.00608352844649897,0.000160092853855236,0.0428048267995437,0.0312581297152348,8.0046426927618e-05,0.166636649256569,0.00236136959436473,0.00160092853855236,0.000520301775029517,0.0138680434652098,0.000480278561565708,0.00626363290708611,0,0.0274959476496368
