"x","y","arv06","arv11","arv18"
5036000,3949000,0,0,4
5037000,3949000,0,0,2
5038000,3949000,0,0,2
5039000,3949000,1,2,5
5040000,3949000,0,0,2
5167000,3949000,127,113,114
5168000,3949000,25,26,14
5169000,3949000,8,11,8
5170000,3949000,4,5,13
5171000,3949000,0,5,2
5172000,3949000,0,0,2
5280000,3949000,0,0,0
5281000,3949000,0,0,1
5282000,3949000,1,0,2
5283000,3949000,0,0,1
5284000,3949000,3,3,0
5285000,3949000,8,11,14
5286000,3949000,33,20,21
5287000,3949000,10,9,14
5288000,3949000,2,3,5
5289000,3949000,0,0,1
5290000,3949000,0,0,0
5291000,3949000,0,0,1
5292000,3949000,2,6,4
5293000,3949000,0,0,3
5294000,3949000,0,0,0
5295000,3949000,0,0,0
5296000,3949000,0,0,1
5297000,3949000,0,0,1
5298000,3949000,0,0,1
5299000,3949000,0,0,4
5300000,3949000,11,4,3
5301000,3949000,0,0,5
5302000,3949000,19,12,4
5303000,3949000,11,7,13
5304000,3949000,192,190,137
5305000,3949000,12,11,53
5306000,3949000,12,4,3
5307000,3949000,0,0,1
5308000,3949000,0,0,1
5309000,3949000,0,0,2
5310000,3949000,4,1,5
5311000,3949000,18,15,6
5312000,3949000,1,1,3
5313000,3949000,3,2,2
5314000,3949000,6,8,7
5315000,3949000,5,5,5
5316000,3949000,1,0,2
5317000,3949000,0,0,0
5318000,3949000,0,0,3
5348000,3949000,0,0,0
5349000,3949000,8,0,0
5350000,3949000,0,0,0
5036000,3950000,0,0,0
5037000,3950000,0,0,0
5038000,3950000,0,0,0
5039000,3950000,14,16,3
5040000,3950000,0,0,2
5167000,3950000,7,13,3
5168000,3950000,15,11,11
5169000,3950000,5,4,3
5170000,3950000,5,2,5
5171000,3950000,0,0,3
5172000,3950000,0,0,0
5173000,3950000,0,0,0
5279000,3950000,0,5,4
5280000,3950000,0,0,2
5281000,3950000,1,0,3
5282000,3950000,0,0,1
5283000,3950000,0,0,3
5284000,3950000,6,0,8
5285000,3950000,2,1,4
5286000,3950000,2,0,3
5287000,3950000,0,0,0
5288000,3950000,0,0,0
5289000,3950000,0,0,0
5290000,3950000,0,0,0
5291000,3950000,0,0,0
5292000,3950000,0,0,0
5293000,3950000,0,0,0
5294000,3950000,0,0,0
5295000,3950000,0,0,0
5296000,3950000,0,0,0
5297000,3950000,0,0,0
5298000,3950000,0,0,0
5299000,3950000,0,0,0
5300000,3950000,2,2,2
5301000,3950000,2,4,4
5302000,3950000,5,3,9
5303000,3950000,18,12,7
5304000,3950000,0,0,5
5305000,3950000,3,4,2
5306000,3950000,9,8,7
5307000,3950000,0,0,0
5308000,3950000,0,0,0
5309000,3950000,0,0,0
5310000,3950000,0,0,2
5311000,3950000,10,10,7
5312000,3950000,8,5,5
5313000,3950000,1,3,1
5314000,3950000,0,0,3
5315000,3950000,2,2,4
5316000,3950000,1,1,4
5317000,3950000,7,7,5
5318000,3950000,2,1,8
5319000,3950000,0,5,6
5345000,3950000,0,0,0
5347000,3950000,0,0,0
5348000,3950000,0,0,0
5349000,3950000,0,0,0
5350000,3950000,0,0,0
5036000,3951000,0,0,0
5037000,3951000,0,0,3
5038000,3951000,8,4,14
5039000,3951000,19,21,47
5040000,3951000,0,0,2
5167000,3951000,34,23,4
5168000,3951000,8,5,20
5169000,3951000,7,4,4
5170000,3951000,0,0,3
5171000,3951000,0,0,0
5172000,3951000,0,0,0
5173000,3951000,0,0,0
5277000,3951000,0,0,6
5278000,3951000,0,5,5
5279000,3951000,0,0,4
5280000,3951000,1,2,3
5281000,3951000,0,0,2
5282000,3951000,2,1,3
5283000,3951000,9,7,6
5284000,3951000,1,1,3
