"kov","Sugu.Mehed","Sugu.Naised","Kodakondsus.Eesti kodakondsus","Kodakondsus.Kodakondsus määramata","Kodakondsus.Kodakondsus teadmata","Kodakondsus.Muu riigi kodakondsus","Kodakondsus.Venemaa kodakondsus","Vanuserühm.0-14","Vanuserühm.15-29","Vanuserühm.30-49","Vanuserühm.50-64","Vanuserühm.65 ja vanemad"
"Kambja vald",0.495255871830767,0.504744128169233,0.981878985845388,0.00521076372686265,0,0.00987711930315757,0.00303313112459169,0.241017265515632,0.155545185876497,0.333333333333333,0.155778503655312,0.114325711619225
"Kanepi vald",0.496208742194469,0.503791257805531,0.977698483496878,0.00713648528099911,0,0.0129348795718109,0.00223015165031222,0.14964317573595,0.142060660124888,0.238403211418376,0.213871543264942,0.256021409455843
"Kastre vald",0.49935149156939,0.50064850843061,0.980174170835649,0.00759681304428386,0,0.00629979618306467,0.00592921993700204,0.191958495460441,0.154530294608116,0.290902353159163,0.191587919214378,0.171020937557903
"Kehtna vald",0.488084241640495,0.511915758359505,0.975244781082579,0.0107149455015703,0,0.010530205061888,0.00351006835396268,0.164418991317199,0.157029373729909,0.238869388509145,0.215776833548864,0.223905412894883
"Keila linn",0.476067887109077,0.523932112890923,0.928966437833715,0.0225972540045767,0.00028604118993135,0.0282227307398932,0.0199275362318841,0.198703279938978,0.153032036613272,0.297578184591915,0.170099160945843,0.180587337909992
"Kihnu vald",0.483695652173913,0.516304347826087,1,0,0,0,0,0.132246376811594,0.148550724637681,0.244565217391304,0.25,0.22463768115942
"Kiili vald",0.503656752803511,0.49634324719649,0.97155858930603,0.0108889972371201,0,0.0095888184625386,0.00796359499431172,0.235494880546075,0.161872257435397,0.344059808223631,0.161222168048107,0.0973508857467902
"Kohila vald",0.496877906204331,0.503122093795669,0.953367875647668,0.0188654178291484,0,0.0178025773880696,0.00996412913511359,0.199548292812542,0.153713298791019,0.313006509897702,0.171914441344493,0.161817457154245
"Kohtla-Järve linn",0.458460252045631,0.541539747954369,0.559188914770352,0.182912261840769,8.95896792689482e-05,0.0295645941587529,0.228244639550857,0.131517649166816,0.132085050468853,0.249328077405483,0.227916144060204,0.259153078898644
"Kose vald",0.48903538275259,0.51096461724741,0.976187272971882,0.00820664603793892,0,0.0119736311045338,0.0036324498856451,0.201130095519978,0.151621148930445,0.288174357594511,0.180949818377506,0.17812457957756
"Kuusalu vald",0.489102564102564,0.510897435897436,0.97275641025641,0.00384615384615385,0,0.0150641025641026,0.00833333333333333,0.177564102564103,0.148397435897436,0.266025641025641,0.211057692307692,0.196955128205128
"Lääne-Harju vald",0.480236850199939,0.519763149800062,0.79137188557367,0.083743463549677,0.000384497077822209,0.0298369732390034,0.0946631805598277,0.158874192556137,0.139111042756075,0.272070132266995,0.222393109812365,0.207551522608428
"Lääne-Nigula vald",0.504111600587371,0.495888399412628,0.970484581497797,0.0118942731277533,0.000587371512481645,0.0111600587371512,0.00587371512481645,0.154625550660793,0.140675477239354,0.241997063142438,0.224522760646109,0.238179148311307
"Lääneranna vald",0.493713163064833,0.506286836935167,0.973673870333988,0.00628683693516699,0,0.0163064833005894,0.0037328094302554,0.124950884086444,0.155402750491159,0.217288801571709,0.239489194499018,0.26286836935167
"Loksa linn",0.488567073170732,0.511432926829268,0.527057926829268,0.210746951219512,0,0.0804115853658537,0.181783536585366,0.100609756097561,0.120426829268293,0.236661585365854,0.232469512195122,0.309832317073171
"Lüganuse vald",0.465107782243332,0.534892217756668,0.800998660333699,0.0678358299841676,0,0.0271586895627816,0.104006820119352,0.116550968213372,0.131530873218853,0.216173425892096,0.231884057971014,0.303860674704664
"Luunja vald",0.493023255813954,0.506976744186047,0.96446511627907,0.0113488372093023,0.000558139534883721,0.00855813953488372,0.0150697674418605,0.226976744186047,0.173581395348837,0.334883720930233,0.159627906976744,0.10493023255814
"Maardu linn",0.477999876229965,0.522000123770035,0.608886688532706,0.185902592982239,0.00024754007054892,0.0587288817377313,0.146234296676775,0.148585927346989,0.129710996967634,0.280029704808466,0.238319202920973,0.203354167955938
"Märjamaa vald",0.492881355932203,0.507118644067797,0.979932203389831,0.00650847457627119,0,0.0108474576271186,0.00271186440677966,0.145627118644068,0.161220338983051,0.244474576271186,0.212338983050847,0.236338983050847
"Muhu vald",0.491833030852995,0.508166969147005,0.976406533575318,0.00181488203266788,0,0.0217785843920145,0,0.115547489413188,0.134906231094979,0.228070175438596,0.234724742891712,0.286751361161524
"Mulgi vald",0.493105899076048,0.506894100923952,0.971712864250178,0.0126510305614783,0.000426439232409382,0.0120824449182658,0.0031272210376688,0.129495380241649,0.152807391613362,0.22089552238806,0.225302061122957,0.271499644633973
"Mustvee vald",0.491189427312775,0.508810572687225,0.948938726471766,0.0206247496996396,0,0.0118141770124149,0.0186223468161794,0.111734080897076,0.135562675210252,0.213456147376852,0.249098918702443,0.290148177813376
"Narva linn",0.449615420257622,0.550384579742378,0.502882031322398,0.131572606801965,0.000129737744416644,0.0189231767213419,0.346492447409879,0.131646742655917,0.132165693633584,0.251061069409693,0.22709665461959,0.258029839681216
"Narva-Jõesuu linn",0.482091690544413,0.517908309455587,0.574737344794651,0.134431709646609,0.000716332378223496,0.0293696275071633,0.260744985673352,0.119627507163324,0.124880611270296,0.221107927411652,0.250716332378223,0.283667621776504
"Nõo vald",0.49740932642487,0.50259067357513,0.986104569006123,0.00329722091380122,0,0.00682995760715968,0.00376825247291569,0.196655675930287,0.167451719265191,0.283560998586905,0.179698539802167,0.17263306641545
"Otepää vald",0.491492776886035,0.508507223113965,0.981380417335474,0.0028892455858748,0,0.0117174959871589,0.00401284109149278,0.145585874799358,0.162279293739968,0.242857142857143,0.217335473515249,0.231942215088282
