"x","y","maakond","registreeriti","loomad"
620798,6424576,"valga maakond","2003","lammas"
645140,6400465,"valga maakond","2003","veis"
639876,6404388,"valga maakond","2003","veis"
653536,6385436,"võru maakond","2003",""
649534,6411194,"võru maakond","2003","lammas"
696948,6416097,"võru maakond","2003","lammas;munakana;veis"
672823,6417465,"võru maakond","2003","veis"
644607,6429344,"valga maakond","2003","hobune"
686371,6404775,"võru maakond","2003","munakana;veis"
648219,6408986,"võru maakond","2003","lammas"
695961,6401401,"võru maakond","2003","kalkun;munakana"
681506,6412423,"võru maakond","2003","lammas"
684127,6425532,"võru maakond","2003","lammas;veis"
619823,6418015,"valga maakond","2003","lammas"
636449,6393484,"valga maakond","2003","lammas"
640528,6422144,"valga maakond","2003","veis"
640458,6438063,"valga maakond","2003","munakana"
645523,6419301,"võru maakond","2003","lammas"
676631,6396352,"võru maakond","2003","munakana;veis"
652077,6404562,"võru maakond","2003","veis"
647165,6435656,"valga maakond","2003","munakana"
649770,6437070,"valga maakond","2003","veis"
616949,6428499,"valga maakond","2003","veis"
699035,6409009,"võru maakond","2003","munakana"
704237,6410158,"võru maakond","2003","munakana"
682428,6386735,"võru maakond","2003","munakana;veis"
682446,6386551,"võru maakond","2003","mesilane"
650234,6425922,"võru maakond","2003","lammas;munakana"
638686,6444767,"tartu maakond","2003","veis"
642825,6432440,"valga maakond","2003","munakana"
642372,6426732,"valga maakond","2003","veis"
636366,6442562,"tartu maakond","2003","veis"
653217,6436874,"põlva maakond","2003","lammas"
630746,6440140,"tartu maakond","2003","lammas"
654838,6418595,"võru maakond","2003","munakana"
654822,6418601,"võru maakond","2003","veis"
614366,6420333,"valga maakond","2003","mesilane;munakana;veis"
640429,6387039,"valga maakond","2003","hani;lammas;munakana;part;veis"
633334,6443296,"tartu maakond","2003","lammas"
634184,6440781,"tartu maakond","2003","lammas;munakana;veis"
628178,6435865,"valga maakond","2003","veis"
710225,6416161,"võru maakond","2003","lammas"
648709,6404078,"võru maakond","2003","veis"
683493,6424807,"võru maakond","2003","kits;lammas"
665329,6422728,"võru maakond","2003","munakana"
651948,6418126,"võru maakond","2003","veis"
650029,6402548,"võru maakond","2003","munakana;veis"
689641,6427300,"põlva maakond","2003","munakana"
657584,6402486,"võru maakond","2003","munakana"
634149,6400232,"valga maakond","2003","munakana"
626817,6411975,"valga maakond","2003","hani;munakana;veis"
644015,6390586,"valga maakond","2003","lammas"
655622,6439481,"põlva maakond","2003","lammas"
662088,6396848,"võru maakond","2003","munakana;veis"
699749,6403907,"võru maakond","2003","veis"
