"lon","lat","nädalapäev","sündmus","koht","kahjusumma"
533000,6584000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","5000-49999"
541000,6589000,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
540000,6590500,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
594000,6471000,"Reede","vandalism","avalik_koht","0-499"
546000,6589000,"Kolmapäev","avaliku_korra_rikkumine,muu,vandalism","avalik_koht,bussipeatus","0-499"
545000,6586500,"Pühapäev","avaliku_korra_rikkumine,vandalism","avalik_koht,tanav_valjak","0-499"
550000,6590500,"Laupäev","tulekahju,vandalism","avalik_koht","500-4999"
549000,6580000,"Reede","narkojuhtum,vandalism","avalik_koht,tankla","0-499"
538500,6585000,"Neljapäev","avaliku_korra_rikkumine,kehaline_vaarkohtlemine,vandalism","avalik_koht,kauplus,tanav_valjak","0-499"
648000,6561000,"Kolmapäev","vandalism","avalik_koht,lasteasutus_territoorium,spordirajatis,oppeasutus_selle_territoorium","0-499"
538500,6591000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
547000,6592500,"Teisipäev","vandalism","avalik_koht,hotell_motell","500-4999"
550500,6589500,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
659000,6474000,"Pühapäev","vandalism","avalik_koht","0-499"
547500,6589500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
546000,6588500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
545500,6588000,"Laupäev","vandalism,vargus","avalik_koht,tanav_valjak","0-499"
557000,6593000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
542000,6588500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
546500,6589000,"Neljapäev","vandalism","avalik_koht,parkla","500-4999"
547500,6589000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
548000,6590000,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
594000,6470500,"Laupäev","vandalism","avalik_koht","500-4999"
542000,6588000,"Neljapäev","avaliku_korra_rikkumine,vandalism","avalik_koht,hotell_motell","0-499"
541500,6585500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
542000,6586000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
547000,6597000,"Kolmapäev","vandalism","avalik_koht,staadion","5000-49999"
578000,6473000,"Teisipäev","vandalism","avalik_koht,muu koht","500-4999"
544000,6589000,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
539000,6590000,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
544000,6589000,"Reede","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
591000,6573000,"Neljapäev","vandalism","avalik_koht,rong","0-499"
614500,6503000,"Neljapäev","vandalism","avalik_koht","0-499"
545000,6540000,"Kolmapäev","vandalism","avalik_koht,park","0-499"
541500,6587000,"Reede","vandalism","avalik_koht,parkla","0-499"
