"make","model","price.usd","year","condition","mileage.km","fuel","volume.l","color","transmission","drive"
"hyundai","santa-fe",19200,2013,"with mileage",88000,"petrol",2.4,"other","auto","part-time four-wheel drive"
"volkswagen","golf",1000,1976,"with damage",100,"petrol",1.6,"blue","mechanics",""
"honda","civic",5500,2008,"with mileage",260000,"petrol",1.4,"black","auto","front-wheel drive"
"volkswagen","golf",1600,1993,"with mileage",340000,"petrol",1.4,"red","mechanics","front-wheel drive"
"volkswagen","golf",1000,1984,"with mileage",1000,"diesel",1.6,"white","mechanics","front-wheel drive"
"volkswagen","jetta",850,1985,"with mileage",332000,"diesel",1.555,"other","mechanics","front-wheel drive"
"renault","trafic",8800,2009,"with mileage",400000,"diesel",2,"white","mechanics","front-wheel drive"
"eksklyuziv","kart",4600,2006,"with mileage",117911,"diesel",1.9,"black","mechanics","part-time four-wheel drive"
"renault","laguna",2300,2000,"with mileage",350,"petrol",1.6,"silver","mechanics","front-wheel drive"
"eksklyuziv","avtodom",39900,2008,"with mileage",140000,"diesel",2.3,"silver","mechanics","front-wheel drive"
"citroen","evasion",3750,2001,"with mileage",331000,"diesel",2,"silver","mechanics","front-wheel drive"
"opel","meriva",4600,2004,"with mileage",200000,"diesel",1.7,"silver","mechanics","front-wheel drive"
"citroen","c5",3890,2002,"with mileage",280000,"diesel",2.2,"black","auto","front-wheel drive"
"fiat","scudo",3250,2002,"with mileage",340000,"petrol",2,"blue","mechanics","front-wheel drive"
"peugeot","406",2100,1996,"with mileage",300,"diesel",1.9,"green","mechanics","front-wheel drive"
"volkswagen","polo-sedan",12200,2017,"with mileage",9000,"petrol",1.6,"black","mechanics","front-wheel drive"
"peugeot","406",3100,1997,"with mileage",310000,"petrol",2,"silver","mechanics","front-wheel drive"
"honda","fit",6399,2010,"with mileage",128747.2,"petrol",1.5,"gray","auto",""
"porsche","cayenne",8000,2004,"with mileage",220000,"petrol",4.5,"black","auto","all-wheel drive"
"mercedes-benz","c-klass",6150,2005,"with mileage",178800,"petrol",1.8,"black","auto","rear drive"
"renault","laguna",1000,1995,"with mileage",333333,"petrol",1.8,"green","mechanics","front-wheel drive"
"audi","100",550,1984,"with mileage",300194,"petrol",1.8,"silver","mechanics","front-wheel drive"
"peugeot","307",3430,2001,"with mileage",290000,"diesel",1.4,"silver","mechanics","front-wheel drive"
"toyota","corolla",800,1992,"with mileage",300000,"petrol",1.3,"silver","mechanics","front-wheel drive"
"bmw","5-seriya",13000,2007,"with mileage",260000,"diesel",3,"black","auto","rear drive"
"opel","astra",7900,2010,"with mileage",213000,"diesel",1.7,"gray","mechanics","front-wheel drive"
"mercedes-benz","m-klass",15687,2008,"with mileage",261500,"diesel",2.83,"black","auto","all-wheel drive"
"lada-vaz","2109",600,1988,"with mileage",500000,"petrol",1.5,"white","mechanics","front-wheel drive"
"peugeot","307",3700,2002,"with mileage",255000,"petrol",1.6,"green","mechanics","front-wheel drive"
"volvo","s40",6700,2007,"with mileage",350000,"diesel",1.6,"black","mechanics","front-wheel drive"
"daewoo","lanos",1093,1999,"with mileage",200000,"petrol",1.6,"red","mechanics","front-wheel drive"
"chevrolet","express",17500,2007,"with mileage",160934,"petrol",5.3,"black","auto","rear drive"
"audi","a4",3800,1997,"with mileage",342000,"petrol",1.6,"black","mechanics","front-wheel drive"
"moskvich","407",600,1963,"with mileage",47000,"petrol",1.5,"blue","mechanics","rear drive"
"bmw","5-seriya",2417,1998,"with mileage",416106,"diesel",2.498,"blue","auto","rear drive"
"citroen","xsara",2100,1997,"with mileage",309000,"petrol",1.8,"silver","mechanics","front-wheel drive"
"lancia","zeta",3499,1998,"with mileage",400000,"diesel",2.1,"silver","mechanics","front-wheel drive"
"mazda","626",1990,1998,"with mileage",265000,"petrol",1.8,"green","mechanics","front-wheel drive"
